,Chengyu,Definition
1174,稍纵即逝,"Song Bao Zheng's ""Please Relieve the Hungry People in Jianghuai"": ""The year is drought, the people's food is difficult, and there are many exiles."""
1175,点石成金,"""Songs of the Chu, Nine Chapters, Huaisha"": ""When it turns white, it is thought to be black, and when it falls, it is thought to be below."""
1176,翻来覆去,"Yuan, Li Haogu's ""Zhang Sheng Cooking the Sea"" is the third fold: ""It's that slender girl, who didn't recruit you as a handsome man, and caused this disaster from heaven."""
1177,积习难改,"""Xunzi ,  Fuguo"": ""Therefore, the master of Ming Dynasty must carefully maintain its harmony, restrain its flow, open its source, and consider the time, so that the world must have surplus, and the upper world will not worry about its shortage."""
1178,流言蜚语,"""Warring States Policy Qi Policy Four"": ""When the husband reaches a hundred miles, the people support the old and the young, and welcome the king."""
1179,如出一辙,"Ming Feng Menglong's ""Awakening the World's Hengyan Three Filial Piety and Lian Let Production Establish a High Fame"": ""If I come back today to answer the edict, I will eat my own words."""
1180,力挽狂澜,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", Chapter 69: ""Gongsun returned to life and became ill from overwork. He couldn't get up from his bed. He ran out of food in the city. Half of the people died of starvation."
1181,火上浇油,"Ming Lu Cai's ""Huaixiang Ji Feng Zhao Class Teacher"": ""My child, your mother and I will grow old together, and we are precious."""
1182,光阴似箭,"""Old Tang Book: Sun Simiao Biography"": ""Boldness desires big but heart desires small, wisdom desires roundness and action desires square."""
1183,三番五次,"""Han Book of Huo Guang Biography"": ""Qu Tu migrated from his salary and lost his favor, and he was so overwhelmed as a guest?"""
1184,因噎废食,"""Book of Songs, Daya, Sangrou"": ""People also have their own words, and they are in a dilemma."""
1185,鳏寡孤独,"Southern Song Dynasty Xie Lingyun's ""Preface to the Poems of the Prince of Wei, Ye Zhongji"": ""The world is beautiful, beautiful, pleasing, and happy, the four are difficult to combine."""
1186,言之有理,"The second fold of Yuan Baipu's ""Indus Rain"": ""Tong Jingbing pointed directly at Tongguan, and it is expected that the Tang family has no plan to block it, and they only want to rob a noble concubine, not for the splendid country."""
1187,目不暇接,"Sima Qian of the Han Dynasty wrote in ""The Book of Reports to Ren Shaoqing"": ""A person is inherently dead, or heavier than Mount Tai, or lighter than a feather."""
1188,啧有烦言,"Yuan, Anonymous's ""The Enemy Creditor"" the third fold: ""How can I hook my child away for a while, and I hurt Zhang Shanyou to cut my belly."""
1189,言犹在耳,"Tang Lihua's ""Ancient Battlefield"": ""Sad and sad, it's like that!"""
1190,风吹浪打,"Song Zhoumi's ""Guixin Miscellaneous Identification Collection"": ""Fuzheng Gong has the language of 'secrecy like a bottle, guarding like a city'."""
1191,待人接物,"""The Analects of Confucius Yanghuo"": ""If you haven't got it, you will get it; if you have it, you will lose it. If you worry about losing it, you can get anywhere!"""
1192,沧海桑田,"""Fables of Zhuangzi"": ""Benefits and righteousness are before the front, but likes and dislikes are just submissive to people's mouths. People are convinced by their hearts, and they don't dare to stand upright, and the world is determined."""
1193,炙手可热,"Yuan Qiao Mengfu's ""Money"" first fold: ""Let the soul of Xiaosheng not be possessed."""
1194,青出于蓝,"""The Analects of Confucius, Yang Huo"": ""It's hard to eat all day long and have nothing to do!"""
1195,空谷足音,"Song Wang Mingqing's ""After the Dust"" Volume 6: ""(Cai) Yuandu sent it to the suburbs, and he was eager to talk about the drama, and he couldn't let it go."""
1196,是非曲直,"Song Gong Kai's ""Tall Horse and Child"": ""Innocent and good-looking, all clothes are appropriate."""
1197,图穷匕见,"Qing Zeng Pu's ""Nice Sea Flowers"" the third episode: ""It's not that my brother is rash, but I'm afraid that Brother Tang's ""Draft of Unending Zhai"", although it is popular for a while, must not look at the back of the ""Draft of Wuding Pavilion""!"""
1198,今非昔比,"""Mencius: King Hui of Liang"": ""A few can't be the enemy of the crowd."" ""Han Feizi: Difficulty Three"": ""The husband has many things, but his wisdom is poor, and the few are invincible."""
1199,今不如昔,"Han Wang Chong's ""Lunheng, Self-discipline"": ""Close your eyes and block the cong, and love the essence to protect yourself."""
1200,民不聊生,"Qing Li Baojia's ""Official Realm"" Chapter 27: ""After arriving in Beijing, he returned to the world and swaggered at will."""
1201,生灵涂炭,"The fifty-eighth chapter of ""The Strange Situation I Witnessed in Twenty Years"" by Wu Jianren of Qing Dynasty: ""When I arrived at the Fuyuan, I met Zhiyuan again. There were many soldiers in the yamen, and it was like a great enemy."""
1202,刀山剑树,"Song Chen Liang's ""Book of Emperor Xiaozong on Wushen Again"": ""There is no arrogant and uncontrollable traitor in the world, and the captives must not be in the ascendant, so why use this!"""
1203,总而言之,"Song Shi Daoyuan's ""Jingde Chuan Deng Lu"" Volume 13: ""Three heads and six arms hold the sky and the earth, and the anger slaps the emperor's bell."""
1204,赤子之心,"Ming Xu Zhonglin's ""Romance of the Gods"" Chapter 69: ""One member will make the five-guts hold the sky fork; one will make the eight-legged cooked copper hammer; one will make the five-claw rotten silver catch; It's hard to tell."""
1205,人心向背,"""The Book of Han: The Preface to the Princes of the Princes"" quoted Fuqian as saying: King Zun of Zhou owed a lot of debts and could not repay them, so he was forced to hide on a stage by the creditors."
1206,文恬武嬉,"The Three Kingdoms, Wei, Cao Zhi's ""Xie Feng Zhencheng King Table"": ""The minister is stupid and filthy, and he has a flawed talent. He has received the grace of His Majesty's sun and moon, and cannot break his body and break his head in order to answer His Majesty's kindness."" Tang Jiang Anti ""Huo Xiaoyu Biography"": ""I have volunteered in my life, and today I am compelled, and I will never give up."""
1207,万马齐喑,"Qing Anonymous's ""Official Restoration"" Chapter 14: ""Sure enough, those students couldn't bear it anymore, and the whole class broke out."""
1208,万马奔腾,"""Records of the Grand Historian: Biography of Dayuan"": ""Qian, from Yuezhi to Daxia, was unable to obtain the essentials of Yuezhi."""
1209,暴风骤雨,"""Historical Records: Xiang Yu's Chronicle"": ""Xiang Wang's army was under the wall, and the soldiers were scarce and exhausted. The Han army and the feudal lords were surrounded by a heavy number of soldiers. At night, when the Han army was surrounded by Chu songs, King Xiang was shocked and said: 'Have all Han already captured Chu? There are so many people in Chu.'"""
1210,步履蹒跚,"Yuan, Anonymous's ""Watching the Money Slave"" 2nd fold: ""I am starving when I am hungry, and my body is cold and pale when I am frozen."""
1211,因材施教,"""Han Shu Xue Guangde Biography"": ""I saw that the Kanto region was extremely impoverished and the people were displaced."""
1212,不约而同,"""Book of Jin, Wang Hun Biography"": ""At that time, Wu people were newly attached, and they were quite afraid. Hunfu followed the detainees, humbly embraced Suina, there were no empty seats, and there were no guests at the door, so no one in Jiangdong was unhappy with the attachment."""
1213,以假乱真,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"", Chapter 8: ""Indiscriminate Sun: 'Dong Zhuo, the thief minister, wants to usurp the throne, and there is nothing to do.'"""
1214,一意孤行,"""Historical Records: Xiang Yu's Chronicle"": ""When Chu attacked Qin, all the generals watched from the wall."""
1215,耿耿于怀,"""Zhuangzi: The World"": ""The great things are the same but the small ones are the same and different. This is called the small similarities and differences; all things are the same and the same is the difference. This is called the great similarities and differences."""
1216,吃苦耐劳,"""Old Tang Book: Kong Chaowen Biography"": ""(Tian) is intoxicated with wine, due to his riding skills and boxing skills, because he said: 'If you can see it and use it, you will be invincible.'"""
1217,倒海翻江,"Yuan Wang Shifu's second book of ""The West Chamber"": ""He saw that yesterday was frightening, and today he is smiling."""
1218,津津乐道,"Han Wang Bao's ""Ode to the Holy Master Obtaining a Virtuous Minister"": ""Concentrate on and benefit from each other (chapter)."""
1219,趁虚而入,"""The Book of Wei: The Biography of the Five Kings of Taiwu"": ""The generals are more than princesses, and the princes also marry their descendants, so there are no concubines, so they are used to it."" Get used to it."""
1220,雨过天青,"Liang Yuan Ang of the Southern Dynasties ""Book Review of Ancient and Modern"": ""Wei Dan's calligraphy is like a dragon and a tiger, and the sword is drawn."""
1221,我行我素,"""The Analects of Confucius Yongye"": ""Serve the righteousness of the people, respect ghosts and gods and keep them away."""
1222,深入人心,"Ming Shi Nai'an ""Water Margin"" Chapter 40: ""Since my brother has been in official business, my brother has been restless, and there is no way to save it."""
1223,汗流浃背,"Deuteronomy of the Old Testament: ""An eye for an eye, a tooth for a tooth, a hand for a hand, a foot for a foot."""
1224,无所不为,"Song Wen Tianxiang's ""Qinyuanchun, Ti Zhangxu Shuangmiao"" lyrics: ""Life is dying, so I have to do a lot."""
1225,兴妖作怪,"""Gongyang Biography: The Four Years of Duke Xi"": ""Yi and Di, because of the pain of China, Nanyi and this Di are allied, and China is endless."""
1226,无所顾忌,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"": ""Gongsun Guan led the sergeants and arrested the chariots and soldiers."
1227,避实就虚,"Tang Luyan's ""Quatan Sentence"": ""Dou Li is a sail fan as a boat, and you can travel anywhere in the world."""
1228,哀鸿遍野,"Qing Li Baojia's second episode of ""Official Scenes"": ""I never slept that night. I did this and that for him, and I was so busy."""
1229,临阵磨枪,"Ming Ling Puchu's ""Surprise at the Second Moment"" Volume 11: ""Murder is not worth your life, if you don't kill to pay for your life, the dead and the living are full of grievances, even if the government is unknown, the emperor naturally inspects it. this case.”"
1230,春华秋实,"Tang Sun Qiao's ""Sacrifice Zitong Shenjun Wen"": ""The lame horse is a servant, and the front is the servant."""
1231,大放厥词,"Song Xin Qiji's ""Linjiang Immortal"" lyrics: ""A hundred years of life, a hundred years of heart, more joyful and sighing, no disease but also groaning."""
1232,谨言慎行,"""Zhuangzi: Lie Yu Piu"": ""The skillful person works hard and knows (wisdom) worry, the incompetent has nothing to ask for, and he is full of food and wanders."""
1233,官样文章,"""Baopuzi, Inner Chapter, On Immortals"": ""Trying to leave the house, the desires of the ears and eyes, it is different, and it has a sense of heaven and earth (comparison), and it is obedient."""
1234,颠扑不破,"""Historical Records: The Biography of Pingyuan Jun and Yuqing"": ""This small place is Fuyu, so Qin will attack the king again in the coming year, and the king will have sex without cutting it?"""
1235,巧舌如簧,"Yuan Anonymous's ""Peach Blossom"" 3rd fold: ""He made an oath of the mountains and seas, and slept in the tent of Luo Weijin."""
