,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
1137,地广人稀,1,mainland China politics,《史记·李斯列传》：“法令诛罚，日益深刻，群臣人人自危，欲畔者众。”,写人-德才-⑴高尚-高尚,1,dì guǎng rén xī,"""Records of the Grand Historian: Biography of Li Si"": ""The decrees and punishments are becoming more and more profound, and all the ministers are in danger, and there are many who want to be there.""",Writing about people - Virtue and talent - (1) noble - noble,打赢脱贫攻坚战，寄托着中华民族几千年来的希冀，浓缩着中国共产党人矢志不移的初心和孜孜以求的情怀。内蒙古是我国民族区域自治制度的发源地，一直以来用心呵护民族团结，被誉为“模范自治区”，同时，这里幅员辽阔、地广人稀，特别是贫困人口主要分布在少数民族聚居区和分散偏远的边境牧区，扶贫成本高、脱贫难度大，是脱贫攻坚的“坚中之坚”，也是脱贫攻坚的重点和难点所在。
1138,痛心疾首,5,Hong Kong - Macau politics,唐·柳宗元《捕蛇者说》：“哗然而骇者，虽鸡狗不得宁焉。”,比喻生活困难，断炊已久。,2,tòng xīn jí shǒu,"Tang Liu Zongyuan's ""Snake Catcher's Talk"": ""Those who are horrified by uproar, although chickens and dogs can't rest.""",The metaphor is that life is difficult and has been cut off for a long time.,同时，滇池也是一个典型的半封闭宽浅型湖泊，入湖水量少，水体自净能力差，一旦被污染，比其他湖泊更难治理。然而，上世纪80年代，生态脆弱的滇池迎来了流域内人口迅速增加、经济飞速发展的时期，污染负荷越来越大，滇池水质持续恶化，成为我国污染最严重的湖泊之一。一池朝夕相伴的清水变污，人们痛心疾首、扼腕叹息。
1139,无忧无虑,2,mainland China politics,清·曹雪芹《红楼梦》第七十九回：“这门亲原是老亲，且又和我们是同在户部挂名行商，也是数一数二的大门户。”,冷得象冰霜一样。比喻待人接物毫无感情，象冰霜一样冷。也比喻态度严正，不可接近。,2,wú yōu wú lǜ,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 79: ""This family is originally an old family, and it is also a registered businessman in the Ministry of Household with us, and it is also one of the largest portals.""","Cold as frost. The metaphor is to treat people with no feelings, as cold as frost. It also refers to a stern and unapproachable attitude.",当无忧无虑的少年，把使命扛在了肩上，也就意味着他站在了社会的前排。
1140,风雨如晦,7,culture,明·凌濛初《二刻拍案惊奇》：“谁知素梅心怀鬼胎，只是长吁短叹，好生愁闷，默默归房去了。”,写人-行事-⑵作风-严肃,3,fēng yǔ rú huì,"Ming Ling Puchu's ""Amazing at the Second Moment"": ""Who knew that Sumei had a ghost in her heart, but she just sighed, so sad, and went back to her room silently.""",Writing about people-acting-(2) style-serious,封面上，“共产党”三个字庄重醒目。1920年8月，上海共产主义小组成立。为了从思想上把全国各地的早期党组织统一起来，尽快建立一个全国性的无产阶级政党，《共产党》月刊应运而生。在风雨如晦、上下求索的岁月，一共出刊6期、每期仅约50页的月刊，由于介绍共产党的基本知识、中国革命的实现可能而备受青年欢迎，这份半公开性刊物的发行量一度达5000份。
1141,旗开得胜,1,mainland China politics,宋·俞文豹《清夜录》：“范文正公镇钱塘，兵官皆被荐，独巡检苏麟不见录，乃献诗云：‘近水楼台先得月，向阳花木易逢春。’”,指马奔走时，前后蹄间一跃要过三寻。形容马奔跑得特别快,1,qí kāi dé shèng,"Song Yu Wenbao's ""Qing Ye Lu"": ""Fan Wenzhenggong Town Qiantang, all the soldiers and officers were recommended, and Su Lin was not recorded in the independent inspection, but he wrote a poem saying: 'The moon is the first to get the moon, and the flowers and trees in the sun are easy to meet the spring.'""","It means that when a horse is running, a leap between the front and back hooves should pass three searches. Describe the horse running very fast",“绿水青山就是金山银山”“以人民为中心”“文化自信是更基本、更深沉、更持久的力量”……无一项在三明找不到呼应，无一项在中华大地听不到回响。三明的蝶变，有力展现了习近平总书记一系列改革和发展理念的前瞻性和科学性。党的十八大以来，以习近平同志为核心的党中央站在实现民族复兴的战略高度，提出统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，提出新发展理念，开启我国发展方式的深刻变革，为我们如期实现全面建成小康社会奠定了坚实的基础。由三明实践到新时代探索，时间的馈赠证明了习近平新时代中国特色社会主义思想的科学力量，赋予我们乘势而上、旗开得胜的信念和力量。
1142,后发制人,1,financial news,宋·陈亮《复陆伯寿》：“舍试揭榜，伏承遂释褐于崇化堂前，众望所归，此选增重，凡在友朋之列者，意气为之光鲜。”,栗栗：发抖的样子。形容非常害怕。,1,hòu fā zhì rén,"Song Chen Liang's ""Fu Lu Boshou"": ""The test revealed the list, and Fu Cheng released the brown in front of the Chonghua Hall, which was welcomed by the public. This election has gained weight. Those who are in the list of friends and friends will have a brighter spirit.""",栗栗：The way of shivering. Described as very afraid.,有人曾把中美贸易摩擦比做中国象棋。下过象棋的人都知道，心浮气躁的人，一定会输；没有必胜把握频繁将军的人，也一定会输。纵观中美贸易战，美国政府频频主动出击，浮躁冲动，战略短视，中国政府则克制深思，后发制人，精准反击。
1143,任劳任怨,13,mainland China politics,明·冯梦龙《警世通言》卷三十二：“我非无此心。但教坊落籍，其费甚多，非千金不可。我囊空如洗，如之奈何？”,指处世迟疑，没有决断。,3,rèn láo rèn yuàn,"Ming Feng Menglong's ""Jing Shi Tong Yan"", Volume 32: ""I have no such intentions. But it costs a lot of money to be enrolled in the Jiaofang. I am so empty, what can I do?""",It refers to the hesitation in dealing with the world and the lack of decision.,一场没有硝烟的新冠肺炎疫情防控阻击战已全面打响。医护人员冲在救治的主战场，公安干警守护在交通的大动脉，基层干部下沉到社区的大后方，网格员、志愿者忙碌在防范的关键处，企业为医疗防护物资的生产加班加点，环卫工人为城市的卫生保洁任劳任怨，物流企业、快递小哥为居民生活保障脚步不歇，捐钱捐物的凡人善举不胜枚举。
1144,迥然不同,1,culture,元·吴昌龄《张天师》第三折：“你休那里便伶牙俐齿，调三干四，说人好歹，讦人暧昧，损人行止。”,写事-事态-⑴行为-不当,1,jiǒng rán bù tóng,"Yuan, Wu Changling's ""Zhang Tianshi"" the third fold: ""You will be eloquent in Hugh, arguing with others, saying that people are good or bad, slandering people ambiguous, and hurting people's behavior.""",Writing - state of affairs - (1) act - misconduct,所谓“相与之情厚”，通俗点儿讲就是人情味浓。这一点在中国传统节日上也有鲜明体现。春节的阖家团圆、融融泄泄，清明的祭扫先人、慎终追远，端午的追慕先烈、崇敬爱国，中秋的赏月饮酒、思念亲人，无不洋溢着浓厚的人间气息。可以说，中国传统节日是人的节日。这一点与西方许多宗教性节日是迥然不同的，体现出鲜明的中华文化特色。
1145,饮水思源,26,culture,《鬼谷子·本经符》：“言多必有数短之处。”,写事-事态-⑵变化-发展,4,yǐn shuǐ sī yuán,"""Guiguzi Benjing Fu"": ""Too many words must have several shortcomings.""",Writing about events - state of affairs - (2) changes - development,从江西于都红军长征集结出发地到河南新县鄂豫皖苏区首府革命博物馆，从甘肃高台西路军纪念碑到北京香山革命纪念地，习近平总书记的“红色足迹”传递着对初心使命的坚持、对理想信念的坚守，一次次以饮水思源、不忘本来的实际行动作出表率，引导广大党员干部砥砺初心、坚定信仰，传承红色基因，把革命先烈们开创的事业不断推向前进。
1146,气喘吁吁,1,culture,汉·王褒《圣主得贤臣颂》：“聚精会神，相得益章（彰）。”,形容十分惶恐焦灼。,1,qì chuǎn xū xū,"Han Wang Bao's ""Ode to the Holy Master Obtaining a Virtuous Minister"": ""Concentrate on each other, and benefit from each other.""",Described as very frightened and anxious.,《汉书·丙吉传》中讲到一个故事。宰相丙吉出门遇到行人斗殴，却不闻不问，驱车而过，当有个农民赶的牛步履蹒跚、气喘吁吁走过时，却马上停车询问缘由。
1147,何乐不为,1,None,清·吴趼人《痛史》第二十一回：“我之求死，你之求生，是各行其是。”,由于难而更显出技艺的巧妙。,1,hé lè bù wéi,"Qing Dynasty Wu Jianren's ""Pain History"" Chapter 21: ""My quest for death, your quest for life, is to go its own way.""",The skill of the technique is all the more apparent because of its difficulty.,None
1148,愁肠百结,1,culture,清·吴趼人《痛史》第五回：“城外元兵虽多，却被张世杰一马在前，宗仁、宗义在后，如生龙活虎一般，杀入阵去。”,指青年人的博学。,1,chóu cháng bǎi jié,"The fifth chapter of ""Pain History"" by Wu Jianren of Qing Dynasty: ""Although there were many Yuan soldiers outside the city, Zhang Shijie was in the front, Zong Ren and Zong Yi were behind, and they rushed into the battle like living dragons and tigers.""",Refers to the erudition of young people.,有时，即便身处逆境，他们也能过得兴致盎然；即便眼前满是苟且，他们也总能找到诗和远方。苏轼就是个十足有趣的人。被贬官后，他没有愁肠百结，而是发现了生活的真和趣。
1149,天寒地冻,4,culture,《关尹子·三极》：“天下之理，夫者倡，妇者随。”,比喻才能出众的人。,2,tiān hán dì dòng,"""Guan Yinzi Three Poles"": ""The principles of the world are advocated by husbands and followed by women.""",A metaphor for a person with outstanding talent.,翻雪山时，一位叫吴先恩的兵站部长发现积雪下高举着一只胳膊，拳头紧握，掰开一看是一张党证和一块银元，上面写着：“刘志海，中共正式党员，1933年3月入党。”天寒地冻、饥肠辘辘，或许睡着就再也醒不来，或许在睡梦中被泥淖吞噬，或许体力不支而掉队，但红军战士一路奋勇、一路攀登，矗立起一个个无声的丰碑，彰显了生命与意志的力量。
