,Chengyu,Explanation
1448,良师益友,"Kong: just straight; straight: upright; not a: not to meet. Rigid, straight, square and not flattering"
1449,玉石俱焚,A branch is created where no branch should have been created. A new problem has been created in addition to the original one. Mostly refers to deliberately setting up obstacles so that the problem cannot be successfully solved.
1450,良药苦口,Writing things-opposites-(6) Difficult-easy-hard
1451,名垂青史,"Jie: outstanding; Ling: good. It means that an outstanding person was born or visited, and the place became a famous area."
1452,置之度外,Writing about people - Addressing -_- Other
1453,无可厚非,Opportunity: opportunity; time: timing. A good opportunity must not be let go; it will not come again if it is lost
1454,慷慨陈词,Describe the galloping and galloping horse. It is a metaphor for a sudden rise in ambition and a rapid rise in official position.
1455,数典忘祖,Writing about people - experiences - (3) situations - good situations
1456,宵衣旰食,Writing about people - feelings - (2) delighted - happy
1457,草草了事,Dancing with the axe in front of the door of Lu Ban. It is a metaphor for showing off one's skills in front of a connoisseur and not measuring one's own strength.
1458,沙里淘金,"Se: a dangerous place at the border; Weng: an old man. The metaphor is that although one moment suffers a loss, one may get a benefit from it instead. It also means that a bad thing can become a good thing under certain conditions."
1459,除旧布新,Writing about events - state of affairs - (2) change - for the better
1460,耀武扬威,"When writing or speaking, a few words are used at key points to clarify the substance and make the content vivid and powerful"
1461,事倍功半,"Writing about things, situations, (7) culture and art, writing attitude skills, etc."
1462,为所欲为,"The two sides are compatible. Describe the two sides of the mind and feelings in harmony, together."
1463,指手划脚,Gu: looking back. Worry from the rear. Refers to the fear of problems in the rear during the advance.
1464,文质彬彬,"Color: The color of the face. Originally, it means that only those who have been bitten by a tiger really know the power of a tiger. Later, it refers to the emotional tension at the mention of something you are afraid of."
1465,狂风暴雨,"Wipe out the account. Metaphorically, to cancel everything altogether."
1466,气贯长虹,"Originally, it refers to the high skill of archery, in which two eagles were hit by one arrow. Later, it refers to doing one thing to achieve two purposes."
1467,承上启下,Losing your mind and forgetting everything due to greed for personal gain.
1468,深谋远虑,"Originally, it means playing tricks to deceive people. Later, it is used to describe the frequent change of mind and capriciousness."
1469,鉴往知来,Writing events - state of affairs - (2) changes - changes appear
1470,萧规曹随,Strain: The roots of a tree exposed to the ground. The original metaphor refers to the fluke mentality of trying to get success without effort. Now it is also a metaphor for sticking to narrow experience and not knowing how to adapt.
1471,如法炮制,Writing - state of affairs - (1) act - misconduct
1472,健步如飞,Writing things-opposition-(1) more or less-less
1473,离乡背井,Writing about people - Virtue and talent - (2) Ambition - Promising
1474,沽名钓誉,"When a bird's nest is destroyed, its eggs will surely be broken. The metaphor is that when an adult is in trouble, the children are involved."
1475,欺世盗名,Writing about people - experiences - (3) situations - tragic situations
1476,不堪回首,The ability to see things in advance. Refers to the ability to foresee the development of things.
1477,心甘情愿,Writing about people - virtues and talents - (13) talents - vision
1478,其势汹汹,Seize: to outperform. Artificial exquisiteness is better than natural. Describe the skill is very clever.
1479,仰不愧天,Writing about events - state of affairs - (2) changes - development
1480,荒诞无稽,Writing about people - experience - (1) experience - change
1481,天伦之乐,"It refers to a person or thing to which one has deep feelings, yearning and cannot restrain."
1482,见怪不怪,Writing objects - Geography - _- Resorts
1483,固执己见,Words are overstated and outweigh the reality of the situation.
1484,见多识广,"Efforts were expended, but no results were received."
1485,一蹴而就,Writing about the event - the state of affairs - (3) the result - falls short
1486,杀一儆百,The words come out as an article. Describe the quick thinking and eloquence of the writer.
1487,反躬自省,"神、妙：形容高明；機、算：指計谋。 Amazing resourcefulness, clever schemes. Describe good at estimating the complex and changing situation and deciding the strategy."
1488,人才辈出,Can't tell the difference between high and low good and bad. Describe the level of equal.
1489,多事之秋,"The mouth speaks well, but the heart thinks differently. It means that the heart and mouth are not in agreement."
1490,长夜漫漫,Writing things-opposites-(6) difficult-easy
1491,永无止境,Describe very sincere and honest.
1492,广开言路,Writing about people - Virtue and talent - (4) Sincerity - Sincerity
1493,苟延残喘,Writing about people - virtue and talent - (19) arrogance and pride
1494,石破天惊,Writing about people - Virtue and talent - (17) Fierce and vicious
1495,翻天覆地,"There were people yelling in front to open the way and people surrounding behind for protection. In olden times, it describes an official traveling with a large entourage."
1496,冥顽不灵,Writing events - state of affairs - (2) change - unchanged
1497,滴水穿石,Put on rouge and powder. The metaphor is to cover up the ugly nature of the dress.
1498,激浊扬清,It refers to the cry of discontent and rebellion when being wronged and oppressed.
1499,饮鸩止渴,Writing about people - mind -_- (13) can not help
1500,昏昏欲睡,Writing about people - mind -_- (8) difficult (helpless)
1501,痛定思痛,"After the hard days are over, the good days come."
1502,龙腾虎跃,Writing about events - state of affairs - (2) change - for the better
1503,鱼龙混杂,"The same view, regardless of thickness."
1504,轻车熟路,Reasoning and worldliness
1505,并行不悖,Writing about people-looks-(1) Appearance-other
1506,包办代替,Writing about people - Acting - (2) Style - Steady
1507,作恶多端,"Originally, it describes the decaying scenery in late spring. Later, it is often used to describe being defeated."
1508,风吹雨打,Writing things-opposition-(10) success or failure-failure
1509,舍生忘死,"No sound, no one knows. Refers to the absence of any reputation."
1510,赏罚分明,Writing about people - Virtue and talent - (7) Diligence - Others
1511,革故鼎新,Writing - Situation - (6) Teaching - Learning
1512,耳提面命,"To make one end of a thread pass through the eye of a needle. Metaphorically, to connect and pull together from."
1513,融会贯通,Writing about people - moral talent - (13) talent - innovation
1514,千差万别,Watch the wind turn to launch the tiller. The metaphor is to look at the momentum or look at the eyes of others to act.
1515,恬不知耻,Describe the appearance of trembling slightly because of great fear. It also describes a careful and cautious look.
1516,运筹帷幄,Writing about people - feelings - (7) fear - fear
1517,想方设法,"The top is heavy and the bottom is light. Metaphorically, the foundation is not firm."
1518,荒无人烟,Describe so good that it is difficult to express in words or language.
1519,柳暗花明,"Writing things-opposites-(3) good and beautiful, ugly and evil-good and beautiful"
